id,business_system,menu_key,name,parent_id,order_num,path,api_url,url,type,level,visible,status,created_time,updated_time,remark,super_admin_only_visible,business_id,creator,updater
35,ADMIN_CENTER,System,系统,0,11,,,System,1,1,0,0,1683720071543,1725610679431,,0,1,,
36,ADMIN_CENTER,/System/AuthorityManage,权限管理,35,4,35,,/System/AuthorityManage,2,2,0,0,1683720195046,1718869236997,,0,1,,
37,ADMIN_CENTER,/System/AuthorityManage/MenuManage,菜单管理,36,1,"35,36",/admin-center/business_menu/api/listTreeMenu,/System/AuthorityManage/MenuManage,2,3,0,0,1683720270982,1684306447057,,1,1,,
38,ADMIN_CENTER,/System/AuthorityManage/MenuManage/add,新增菜单,37,0,"35,36,37",/admin-center/business_menu/api/addMenu,/System/AuthorityManage/MenuManage/add,9,4,0,0,1683772515958,1684121988780,,1,1,,
40,ADMIN_CENTER,/System/AuthorityManage/MenuManage/updateMenu,编辑,37,0,"35,36,37",/admin-center/business_menu/api/updateMenu,/System/AuthorityManage/MenuManage/updateMenu,9,4,0,0,1684119824675,1684119824675,,1,1,,
41,ADMIN_CENTER,/System/AuthorityManage/MenuManage/deleteMenu,删除菜单,37,0,"35,36,37",/admin-center/business_menu/api/deleteMenu,/System/AuthorityManage/MenuManage/deleteMenu,9,4,0,0,1684119908248,1684119908248,,1,1,,
44,ADMIN_CENTER,common,菜单自动获取项,0,0,,,common,1,1,0,0,1684306211340,1721961793962,,0,1,,
45,ADMIN_CENTER,/System/AuthorityManage/RoleManage,角色管理,36,2,"35,36",/admin-center/business_role/api/listRole,/System/AuthorityManage/RoleManage,2,3,0,0,1684306431025,1684410573686,,0,1,,
46,ADMIN_CENTER,/System/AuthorityManage/RoleManage/addRole,添加,45,0,"35,36,45",/admin-center/business_role/api/addRole,/System/AuthorityManage/RoleManage/addRole,9,4,0,0,1684306573821,1723535757970,,0,1,,
47,ADMIN_CENTER,/System/AuthorityManage/RoleManage/updateRoleMenu,编辑,45,0,"35,36,45",/admin-center/business_role/api/updateRoleMenu,/System/AuthorityManage/RoleManage/updateRoleMenu,9,4,0,0,1684306750040,1723535976954,,0,1,,
48,ADMIN_CENTER,/System/AuthorityManage/RoleManage/deleteRole,删除,45,0,"35,36,45",/admin-center/business_role/api/deleteRole,/System/AuthorityManage/RoleManage/deleteRole,9,4,0,0,1684306881624,1723535842323,,0,1,,
49,ADMIN_CENTER,common/System,系统,44,9,44,,common/System,1,2,0,0,1684306928393,1684412646283,,0,1,,
50,ADMIN_CENTER,common/System/AuthorityManage,权限管理,49,5,"44,49",,common/System/AuthorityManage,2,3,0,0,1684307693326,1718869277140,,0,1,,
52,ADMIN_CENTER,common/System/AuthorityManage/MenuManage,菜单管理,50,0,"44,49,50",,common/System/AuthorityManage/MenuManage,2,4,0,0,1684307821175,1684307821175,,1,1,,
53,ADMIN_CENTER,commonapi,公共接口,0,0,,,commonapi,1,1,0,0,1684307882338,1723519054166,,0,1,,
54,ADMIN_CENTER,common/System/AuthorityManage/RoleMa,角色管理,50,1,"44,49,50",,common/System/AuthorityManage/RoleMa,2,4,0,0,1684307938649,1684308042219,,0,1,,
55,ADMIN_CENTER,common/System/AuthorityManage/RoleManag/detailRole,获取角色详情接口,54,0,"44,49,50,54",/admin-center/business_role/api/detailRole,common/System/AuthorityManage/RoleManag/detailRole,9,5,0,0,1684308020798,1723535876440,,0,1,,
56,ADMIN_CENTER,common/System/AuthorityManage/StaffManage,账号管理,50,3,"44,49,50",,common/System/AuthorityManage/StaffManage,2,4,0,0,1684308196176,1722221290432,,0,1,,
60,ADMIN_CENTER,common/System/AuthorityManage/StaffManage/detailAdmin,获取职员详情,56,0,"44,49,50,56",/admin-center/business_admin/api/detailAdmin,common/System/AuthorityManage/StaffManage/detailAdmin,9,5,0,0,1684308685187,1684308685187,,0,1,,
